Number of active Voxels;Number of Leaves;Number of Nodes;TotalLeavesSurfaceArea;TotalActiveCellsSurfaceArea;BoundingBoxSurfaceArea;Average Num. of traversed leaves
2007;2857;2857;16276;8028;3332;4.88475
2007;2857;2857;16276;8028;3332;4.88475
2007;2857;2857;16276;8028;3332;4.88475
2007;2857;2857;16276;8028;3332;4.88475
2007;2857;2857;16276;8028;3332;4.88475
2007;2857;2857;16276;8028;3332;4.88475
1678;2581;2581;15680;6712;3332;4.70588
1678;2581;2581;15680;6712;3332;4.70588
1678;2581;2581;15680;6712;3332;4.70588
1678;2581;2581;15680;6712;3332;4.70588
1676;2067;2067;12410;6704;3332;3.72449
1675;1937;1937;11070;6700;3332;3.32233
1675;1937;1937;11070;6700;3332;3.32233
1675;1937;1937;11070;6700;3332;3.32233
1675;1938;1938;11074;6700;3332;3.32353
1674;1935;1935;11062;6696;3332;3.31993
1674;1935;1935;11062;6696;3332;3.31993
1674;1935;1935;11062;6696;3332;3.31993
1676;1937;1937;11070;6704;3332;3.32233
1678;2583;2583;15694;6712;3332;4.71008
1677;2582;2582;15692;6708;3332;4.70948
1677;2580;2580;15682;6708;3332;4.70648
1675;2653;2653;14748;6700;3332;4.42617
1676;1940;1940;11082;6704;3332;3.32593
1676;1940;1940;11082;6704;3332;3.32593
1676;1940;1940;11082;6704;3332;3.32593
1675;1938;1938;11074;6700;3332;3.32353
1674;1935;1935;11062;6696;3332;3.31993
1675;1937;1937;11070;6700;3332;3.32233
1675;1937;1937;11070;6700;3332;3.32233
1676;1937;1937;11070;6704;3332;3.32233
1677;1937;1937;11068;6708;3332;3.32173
1676;2112;2112;11970;6704;3332;3.59244
1674;2652;2652;14746;6696;3332;4.42557
1675;2655;2655;14754;6700;3332;4.42797
1676;2655;2655;14754;6704;3332;4.42797
1676;1940;1940;11082;6704;3332;3.32593
1676;1940;1940;11082;6704;3332;3.32593
1675;1937;1937;11070;6700;3332;3.32233
1675;1937;1937;11070;6700;3332;3.32233
1676;1937;1937;11070;6704;3332;3.32233
1676;1937;1937;11070;6704;3332;3.32233
1676;1937;1937;11070;6704;3332;3.32233
1678;1940;1940;11080;6712;3332;3.32533
1677;2113;2113;11972;6708;3332;3.59304
1671;2314;2314;11292;6684;3332;3.38896
1674;2652;2652;14746;6696;3332;4.42557
1676;2655;2655;14754;6704;3332;4.42797
1677;1940;1940;11080;6708;3332;3.32533
1676;1940;1940;11082;6704;3332;3.32593
1676;1937;1937;11070;6704;3332;3.32233
1675;1937;1937;11070;6700;3332;3.32233
1676;1937;1937;11070;6704;3332;3.32233
1677;1937;1937;11068;6708;3332;3.32173
1678;1940;1940;11080;6712;3332;3.32533
1677;2111;2111;11962;6708;3332;3.59004
1670;2312;2312;11288;6680;3332;3.38776
1672;2650;2650;14742;6688;3332;4.42437
1675;2653;2653;14748;6700;3332;4.42617
1677;1940;1940;11080;6708;3332;3.32533
1677;1938;1938;11074;6708;3332;3.32353
1675;1937;1937;11070;6700;3332;3.32233
1675;1937;1937;11072;6700;3332;3.32293
1676;1937;1937;11070;6704;3332;3.32233
1677;1937;1937;11068;6708;3332;3.32173
1677;1937;1937;11068;6708;3332;3.32173
1677;1938;1938;11070;6708;3332;3.32233
1674;2110;2110;11962;6696;3332;3.59004
1671;2314;2314;11292;6684;3332;3.38896
1676;2656;2656;14756;6704;3332;4.42857
1678;1938;1938;11072;6712;3332;3.32293
1676;1940;1940;11082;6704;3332;3.32593
1674;1937;1937;11072;6696;3332;3.32293
1675;1937;1937;11072;6700;3332;3.32293
1677;1937;1937;11068;6708;3332;3.32173
1678;1940;1940;11080;6712;3332;3.32533
1676;1940;1940;11080;6704;3332;3.32533
1676;1938;1938;11074;6704;3332;3.32353
1675;2111;2111;11964;6700;3332;3.59064
1672;2315;2315;11294;6688;3332;3.38956
1674;2652;2652;14750;6696;3332;4.42677
1677;2654;2654;14752;6708;3332;4.42737
1676;1939;1939;11080;6704;3332;3.32533
1674;1937;1937;11072;6696;3332;3.32293
1677;1937;1937;11068;6708;3332;3.32173
1678;1940;1940;11080;6712;3332;3.32533
1676;1940;1940;11080;6704;3332;3.32533
1675;1938;1938;11074;6700;3332;3.32353
1677;1938;1938;11074;6708;3332;3.32353
1676;2110;2110;11960;6704;3332;3.58944
1672;2315;2315;11294;6688;3332;3.38956
1671;2313;2313;11290;6684;3332;3.38836
1676;2654;2654;14752;6704;3332;4.42737
1676;1940;1940;11082;6704;3332;3.32593
1675;1938;1938;11074;6700;3332;3.32353
1678;1940;1940;11080;6712;3332;3.32533
1677;1940;1940;11082;6708;3332;3.32593
1674;1937;1937;11072;6696;3332;3.32293
1676;1938;1938;11074;6704;3332;3.32353
1677;1937;1937;11068;6708;3332;3.32173
1676;2110;2110;11960;6704;3332;3.58944
1671;2313;2313;11290;6684;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1677;1940;1940;11080;6708;3332;3.32533
1676;1938;1938;11074;6704;3332;3.32353
1677;1937;1937;11070;6708;3332;3.32233
1677;1940;1940;11082;6708;3332;3.32593
1675;1935;1935;11062;6700;3332;3.31993
1675;1938;1938;11074;6700;3332;3.32353
1677;1937;1937;11068;6708;3332;3.32173
1678;1941;1941;11084;6712;3332;3.32653
1673;2108;2108;11958;6692;3332;3.58884
1670;2312;2312;11288;6680;3332;3.38776
1673;2651;2651;14746;6692;3332;4.42557
1678;1942;1942;11086;6712;3332;3.32713
1676;1938;1938;11074;6704;3332;3.32353
1676;1938;1938;11074;6704;3332;3.32353
1676;1938;1938;11074;6704;3332;3.32353
1675;1938;1938;11074;6700;3332;3.32353
1677;1938;1938;11074;6708;3332;3.32353
1676;1938;1938;11074;6704;3332;3.32353
1680;1943;1943;11090;6720;3332;3.32833
1670;2312;2312;11288;6680;3332;3.38776
1671;2313;2313;11290;6684;3332;3.38836
1676;2657;2657;14760;6704;3332;4.42977
1678;1942;1942;11086;6712;3332;3.32713
1674;1942;1942;11088;6696;3332;3.32773
1676;1938;1938;11074;6704;3332;3.32353
1676;1936;1936;11064;6704;3332;3.32053
1676;1938;1938;11074;6704;3332;3.32353
1676;1938;1938;11074;6704;3332;3.32353
1678;1941;1941;11084;6712;3332;3.32653
1675;2111;2111;11962;6700;3332;3.59004
1671;2313;2313;11290;6684;3332;3.38836
1672;2313;2313;11290;6688;3332;3.38836
1676;2657;2657;14760;6704;3332;4.42977
1675;1941;1941;11086;6700;3332;3.32713
1675;1941;1941;11086;6700;3332;3.32713
1678;1941;1941;11082;6712;3332;3.32593
1676;1938;1938;11074;6704;3332;3.32353
1676;1938;1938;11074;6704;3332;3.32353
1677;1941;1941;11086;6708;3332;3.32713
1677;1941;1941;11084;6708;3332;3.32653
1675;2110;2110;11958;6700;3332;3.58884
1672;2313;2313;11290;6688;3332;3.38836
1672;2313;2313;11290;6688;3332;3.38836
1676;2655;2655;14756;6704;3332;4.42857
1674;1942;1942;11088;6696;3332;3.32773
1678;1941;1941;11082;6712;3332;3.32593
1677;1938;1938;11070;6708;3332;3.32233
1675;1936;1936;11068;6700;3332;3.32173
1677;1941;1941;11086;6708;3332;3.32713
1677;1941;1941;11084;6708;3332;3.32653
1676;1941;1941;11086;6704;3332;3.32713
1672;2313;2313;11290;6688;3332;3.38836
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1677;1941;1941;11084;6708;3332;3.32653
1676;1941;1941;11086;6704;3332;3.32713
1677;1940;1940;11080;6708;3332;3.32533
1674;1936;1936;11068;6696;3332;3.32173
1677;1941;1941;11086;6708;3332;3.32713
1678;1941;1941;11084;6712;3332;3.32653
1674;1938;1938;11076;6696;3332;3.32413
1678;2111;2111;11960;6712;3332;3.58944
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1675;2655;2655;14762;6700;3332;4.43037
1676;1941;1941;11086;6704;3332;3.32713
