Time for expansion;Time for normal vector calc.;Determining materials;Determining connectivities;Reduced graph num vertices;num componenets;Time for smoothing;Determining visibilities;Setup active cells;Setup partition;Rate calculation;Memory Ray Tracing Data Structure;Level set time integration;Output;Time for Output;Total time step excl. Output;Total time step incl. Output;Chosen time step;Time;Left Time
0.0011986;0.0003107;9.23751e-05;0;0;0;0;0;0.000638832;0.000904811;0.000172341;158460;0.000929949;1;0.324862;0.00425276;0.359476;1;1;0
0.00118231;0.000304434;8.93701e-05;0;0;0;0;0;0.000640209;0.000927016;0.000121406;158460;0;1;0.299823;0.00326741;0.335231;0;1;0
0.000809084;0.000266793;0.000110859;0;0;0;0;0;0.000496198;0.00110836;0.0247626;158460;0.00144916;1;0.316762;0.0290078;0.388462;1;1;0
0.000708867;0.000213149;8.9119e-05;0;0;0;0;0;0.000394032;0.000795541;0.0339422;158460;0;1;0.274462;0.0361448;0.349713;0;1;0
0.000437079;0.000234873;0.000139133;0;0;0;0;0;0.000409948;0.00088605;0.0247897;158460;0.000625312;1;0.292041;0.0275261;0.349835;6.36396e-09;6.36396e-09;1
0.00067275;0.000215884;6.4987e-05;0;0;0;0;0;0.00040304;0.000817467;0.0459915;148348;0.000920074;0;1.08033e-07;0.0490914;0.0801494;6.36396e-09;1.27279e-08;1
0.000651704;0.000212706;6.5097e-05;0;0;0;0;0;0.000413146;0.000769836;0.0333498;148348;0.000626824;0;4.59841e-08;0.0360912;0.0675665;6.36396e-09;1.90919e-08;1
0.000697548;0.000224176;7.92e-05;0;0;0;0;0;0.000440424;0.000849248;0.0329336;148348;0.000524794;0;4.59841e-08;0.0357508;0.066463;6.36396e-09;2.54558e-08;1
0.000663778;0.000210352;7.6051e-05;0;0;0;0;0;0.000372705;0.000726725;0.031024;148348;0.000706666;0;5.79748e-08;0.0337823;0.0649744;6.36396e-09;3.18198e-08;1
0.000667673;0.000210341;7.692e-05;0;0;0;0;0;0.000400336;0.000689373;0.0332166;120876;0.000553813;0;1.0198e-07;0.035817;0.0670292;6.43619e-09;3.8256e-08;1
0.00065877;0.000212947;7.6771e-05;0;0;0;0;0;0.00040936;0.000595122;0.0345308;111868;0.000595359;0;1.1106e-07;0.0370817;0.0682397;6.52845e-09;4.47845e-08;1
0.000661012;0.00021319;6.56489e-05;0;0;0;0;0;0.000397846;0.000636838;0.0343266;111868;0.000622961;0;9.49949e-08;0.0369262;0.0681544;6.61851e-09;5.1403e-08;1
0.000645099;0.000210637;6.46679e-05;0;0;0;0;0;0.00039741;0.000625446;0.0310805;111868;0.000595096;0;4.49363e-08;0.0336207;0.0651599;6.70624e-09;5.81092e-08;1
0.000657485;0.000210092;7.14391e-05;0;0;0;0;0;0.000402171;0.000632686;0.030571;111912;0.000584193;0;4.70318e-08;0.0331306;0.0645479;6.77768e-09;6.48869e-08;1
0.000659646;0.000212427;7.3501e-05;0;0;0;0;0;0.000401544;0.000668723;0.0300844;111780;0.000578324;0;4.49363e-08;0.0326803;0.063967;6.82094e-09;7.17078e-08;1
0.000661996;0.000210623;6.3432e-05;0;0;0;0;0;0.000358546;0.000613738;0.0361906;111780;0.000620531;0;1.11992e-07;0.0387223;0.0701304;6.86401e-09;7.85718e-08;1
0.000663869;0.000210972;5.576e-05;0;0;0;0;0;0.00040095;0.000649334;0.0314216;111780;0.000659136;0;4.4005e-08;0.0340637;0.0654213;6.90684e-09;8.54787e-08;1
0.000637118;0.000211326;5.2208e-05;0;0;0;0;0;0.000400401;0.000651616;0.0294253;111868;0.000568159;0;4.50527e-08;0.0319479;0.0717249;6.94937e-09;9.2428e-08;1
