"Velocities","Coverage0","Coverage1","Coverage2","Coverage3","Coverage4","Coverage5","Coverage6","Coverage7","Coverage8","Coverage9","Coverage10","Coverage11","Points:0","Points:1","Points:2"
0.41758,0.00096438,4.4129e-06,2.2225e-05,0.99668,0.0032942,0.96438,0.99897,0.99765,0.99765,1.7812e-05,0.0023342,0,0.01,0.01,0.10551
0.41755,0.00096432,4.4113e-06,2.2216e-05,0.99668,0.0032934,0.96432,0.99897,0.99765,0.99765,1.7805e-05,0.0023335,0,0.01,0,0.10551
0.42118,0.0009727,4.4826e-06,2.2463e-05,0.99666,0.0033209,0.9727,0.99894,0.99763,0.99763,1.798e-05,0.0023526,0,0.01,0.2,0.10551
0.42109,0.0009725,4.4839e-06,2.2476e-05,0.99666,0.003322,0.9725,0.99894,0.99763,0.99763,1.7993e-05,0.0023539,0,0.01,0.21,0.10551
0.41989,0.00096972,4.5237e-06,2.2799e-05,0.99663,0.0033499,0.96972,0.99888,0.9976,0.9976,1.8275e-05,0.0023847,0,0.01,0.4,0.10551
0.41965,0.00096916,4.5235e-06,2.2812e-05,0.99663,0.0033507,0.96916,0.99888,0.9976,0.9976,1.8288e-05,0.0023861,0,0.01,0.41,0.10551
0.41975,0.0009694,4.5708e-06,2.3109e-05,0.9966,0.003378,0.9694,0.99883,0.99757,0.99757,1.8538e-05,0.0024131,0,0.01,0.6,0.10551
0.41992,0.00096978,4.5732e-06,2.3114e-05,0.9966,0.0033786,0.96978,0.99883,0.99757,0.99757,1.854e-05,0.0024134,0,0.01,0.61,0.10551
0.41914,0.00096799,4.5851e-06,2.3236e-05,0.99659,0.0033888,0.96799,0.99879,0.99756,0.99756,1.8651e-05,0.0024254,0,0.01,0.8,0.10551
0.41917,0.00096806,4.5855e-06,2.3237e-05,0.99659,0.0033889,0.96806,0.99879,0.99756,0.99756,1.8651e-05,0.0024254,0,0.01,0.81,0.10551
0.42457,0.00098053,4.6631e-06,2.3413e-05,0.99656,0.003412,0.98053,0.99877,0.99755,0.99755,1.875e-05,0.0024361,0,0.01,1,0.10551
0.42441,0.00098015,4.6614e-06,2.3412e-05,0.99657,0.0034117,0.98015,0.99877,0.99755,0.99755,1.8751e-05,0.0024362,0,0.01,1.01,0.10551
0.41098,0.00094914,4.5138e-06,2.3265e-05,0.9966,0.0033808,0.94914,0.99878,0.99755,0.99755,1.8751e-05,0.0024362,0,0.01,1.2,0.10551
0.4109,0.00094895,4.5116e-06,2.3255e-05,0.9966,0.0033798,0.94895,0.99878,0.99755,0.99755,1.8743e-05,0.0024354,0,0.01,1.21,0.10551
0.41213,0.00095181,4.4914e-06,2.3049e-05,0.99661,0.0033626,0.95181,0.99878,0.99757,0.99757,1.8557e-05,0.0024153,0,0.01,1.4,0.10551
0.41243,0.00095248,4.4901e-06,2.3023e-05,0.99662,0.0033606,0.95248,0.99878,0.99757,0.99757,1.8533e-05,0.0024127,0,0.01,1.41,0.10551
0.42111,0.00097253,4.5171e-06,2.2687e-05,0.99664,0.0033412,0.97253,0.99883,0.99761,0.99761,1.817e-05,0.0023732,0,0.01,1.6,0.1055
0.42139,0.00097319,4.5099e-06,2.2626e-05,0.99664,0.003336,0.97319,0.99884,0.99761,0.99761,1.8116e-05,0.0023674,0,0.01,1.61,0.1055
0.42734,0.00098693,4.3754e-06,2.1454e-05,0.99674,0.0032363,0.98693,0.99897,0.99773,0.99773,1.7078e-05,0.0022538,0,0.01,1.8,0.10549
0.42752,0.00098735,4.3661e-06,2.1388e-05,0.99675,0.0032305,0.98735,0.99898,0.99774,0.99774,1.7021e-05,0.0022475,0,0.01,1.81,0.10549
0.42584,0.00098346,4.1398e-06,2.0083e-05,0.99687,0.0031073,0.98346,0.99914,0.99786,0.99786,1.5943e-05,0.002128,0,0.01,2,0.10547
0.42275,0.00097634,4.3321e-06,2.1838e-05,0.99673,0.0032528,0.97634,0.99914,0.9977,0.9977,1.7506e-05,0.0022808,0,0.01,2.01,0.10574
0.37546,0.00086712,7.4206e-06,4.8889e-05,0.99442,0.0055293,0.86712,0.99921,0.99529,0.99529,4.1468e-05,0.0046696,0,0.01,2.2,0.10972
0.36757,0.00084889,1.3629e-05,0.00011373,0.9897,0.010191,0.84889,0.96148,0.99054,0.99054,0.0001001,0.0093557,0,0.01,2.3449,0.19555
0.36761,0.00084898,1.3767e-05,0.00011506,0.98959,0.01029,0.84898,0.96124,0.99044,0.99044,0.00010129,0.0094552,0,0.01,2.3518,0.2
0.36994,0.00085436,1.346e-05,0.00011216,0.98983,0.010061,0.85436,0.96147,0.99068,0.99068,9.8696e-05,0.0092205,0,0.01,2.354,0.21
0.41121,0.00094968,5.0297e-06,2.6685e-05,0.99628,0.0036898,0.94968,0.99653,0.99723,0.99723,2.1655e-05,0.0027451,0,0.01,2.3937,0.4
0.41137,0.00095004,5.0205e-06,2.6617e-05,0.99629,0.0036838,0.95004,0.99653,0.99724,0.99724,2.1597e-05,0.0027388,0,0.01,2.3937,0.41
