Time for expansion;Time for normal vector calc.;Determining materials;Determining connectivities;Reduced graph num vertices;num componenets;Time for smoothing;Determining visibilities;Setup active cells;Setup partition;Rate calculation;Memory Ray Tracing Data Structure;Level set time integration;Output;Time for Output;Total time step excl. Output;Total time step incl. Output;Chosen time step;Time;Left Time
0.00188151;0.00298458;0;0;0;0;0;0.000857917;0;0;0;0;0.00315409;1;0.0909106;0.00888055;0.0997913;0.0333333;0.0333333;29.9667
0.00179455;0.0029171;0;0;0;0;0;0.000853538;0;0;0;0;0.00333683;0;4.50527e-08;0.00890298;0.0089031;0.033557;0.0668904;29.9331
0.00170718;0.00289465;0;0;0;0;0;0.000857067;0;0;0;0;0.00339781;0;4.50527e-08;0.0088572;0.00885732;0.0342004;0.101091;29.8989
0.00166629;0.00288405;0;0;0;0;0;0.000857271;0;0;0;0;0.0171074;0;4.80795e-08;0.0225157;0.0225159;0.0342576;0.135348;29.8647
0.00168994;0.00300069;0;0;0;0;0;0.000855571;0;0;0;0;0.00965565;0;1.41095e-07;0.015203;0.0152032;0.034186;0.169534;29.8305
0.00167892;0.00293719;0;0;0;0;0;0.000859896;0;0;0;0;0.00303549;0;1.44006e-07;0.00851237;0.00851259;0.0341182;0.203653;29.7963
0.00167515;0.00292316;0;0;0;0;0;0.000852048;0;0;0;0;0.00354363;0;4.79631e-08;0.00899462;0.00899474;0.0251188;0.228771;29.7712
0.00167135;0.00290827;0;0;0;0;0;0.000848604;0;0;0;0;0.00449383;0;4.79631e-08;0.0099226;0.00992271;0.0260072;0.254779;29.7452
0.00188661;0.00290775;0;0;0;0;0;0.000857767;0;0;0;0;0.00308836;0;4.80795e-08;0.00874103;0.00874114;0.0268887;0.281667;29.7183
0.00172482;0.00289581;0;0;0;0;0;0.00085127;0;0;0;0;0.00347135;0;4.20259e-08;0.00894377;0.00894388;0.0277555;0.309423;29.6906
0.00169673;0.00290105;0;0;0;0;0;0.000855865;0;0;0;0;0.00318528;0;4.80795e-08;0.00863964;0.00863977;0.0285997;0.338022;29.662
0.00175787;0.00291595;0;0;0;0;0;0.000865515;0;0;0;0;0.00357081;0;5.69271e-08;0.00911073;0.00911085;0.0294137;0.367436;29.6326
0.00179089;0.00291525;0;0;0;0;0;0.000850394;0;0;0;0;0.00310391;0;4.49363e-08;0.008661;0.00866113;0.0301903;0.397627;29.6024
0.00167219;0.0029732;0;0;0;0;0;0.000844667;0;0;0;0;0.0032159;0;4.19095e-08;0.00870645;0.00870657;0.0309233;0.42855;29.5715
0.00253258;0.00289899;0;0;0;0;0;0.000850847;0;0;0;0;0.00302199;0;4.19095e-08;0.00930492;0.00930504;0.0316073;0.460157;29.5398
0.0016959;0.00290827;0;0;0;0;0;0.00085868;0;0;0;0;0.00304505;0;4.80795e-08;0.00850841;0.00850854;0.0322385;0.492396;29.5076
0.00167362;0.00290327;0;0;0;0;0;0.000850875;0;0;0;0;0.00385839;0;4.80795e-08;0.00928671;0.00928683;0.0255473;0.517943;29.4821
0.00166075;0.00289306;0;0;0;0;0;0.000853003;0;0;0;0;0.00303623;0;4.79631e-08;0.00844355;0.00844368;0.0260515;0.543994;29.456
0.00168734;0.00288788;0;0;0;0;0;0.000850937;0;0;0;0;0.00405871;0;4.80795e-08;0.00948542;0.00948554;0.0265478;0.570542;29.4295
0.00175685;0.00289652;0;0;0;0;0;0.000856006;0;0;0;0;0.00332882;0;4.79631e-08;0.00883871;0.00883884;0.0270349;0.597577;29.4024
0.00169963;0.00295715;0;0;0;0;0;0.000850514;0;0;0;0;0.00305028;0;4.90109e-08;0.00855853;0.00855865;0.0275116;0.625089;29.3749
0.00205868;0.00294004;0;0;0;0;0;0.000851574;0;0;0;0;0.00301829;0;4.79631e-08;0.00886933;0.00886945;0.0279769;0.653066;29.3469
0.00166153;0.00292102;0;0;0;0;0;0.000862886;0;0;0;0;0.00342018;0;5.20376e-08;0.00886613;0.00886625;0.0284298;0.681495;29.3185
