Number of active Voxels;Number of Leaves;Number of Nodes;TotalLeavesSurfaceArea;TotalActiveCellsSurfaceArea;BoundingBoxSurfaceArea;Average Num. of traversed leaves
2007;2857;2857;16276;8028;3332;4.88475
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1678;2585;2585;16218;6712;3332;4.86735
1680;2587;2587;16226;6720;3332;4.86975
1692;2462;2462;15352;6768;3332;4.60744
1680;2437;2437;15232;6720;3332;4.57143
1680;2437;2437;15232;6720;3332;4.57143
1680;2437;2437;15232;6720;3332;4.57143
1680;2434;2434;15220;6720;3332;4.56783
1680;2434;2434;15220;6720;3332;4.56783
1677;2429;2429;15202;6708;3332;4.56242
1678;2429;2429;15202;6712;3332;4.56242
1682;2463;2463;15732;6728;3332;4.72149
1682;2463;2463;15732;6728;3332;4.72149
1682;2463;2463;15732;6728;3332;4.72149
1682;2463;2463;15732;6728;3332;4.72149
1703;2486;2486;15772;6812;3332;4.73349
1684;2338;2338;14882;6736;3332;4.46639
1682;2336;2336;14876;6728;3332;4.46459
1681;2335;2335;14876;6724;3332;4.46459
1680;2331;2331;14860;6720;3332;4.45978
1681;2337;2337;14886;6724;3332;4.46759
1681;2337;2337;14886;6724;3332;4.46759
1684;2465;2465;15992;6736;3332;4.79952
1684;2465;2465;15992;6736;3332;4.79952
1684;2465;2465;15992;6736;3332;4.79952
1684;2465;2465;15992;6736;3332;4.79952
1684;2465;2465;15992;6736;3332;4.79952
1702;2486;2486;16054;6808;3332;4.81813
1686;2344;2344;15170;6744;3332;4.55282
1686;2344;2344;15170;6744;3332;4.55282
1683;2339;2339;15152;6732;3332;4.54742
1685;2337;2337;15134;6740;3332;4.54202
1683;2334;2334;15124;6732;3332;4.53902
1685;2466;2466;16260;6740;3332;4.87995
1687;2470;2470;16282;6748;3332;4.88655
1686;2469;2469;16280;6744;3332;4.88595
1686;2469;2469;16280;6744;3332;4.88595
1687;2471;2471;16284;6748;3332;4.88715
1687;2471;2471;16284;6748;3332;4.88715
1842;2623;2623;16572;7368;3332;4.97359
1689;2348;2348;15446;6756;3332;4.63565
1685;2336;2336;15390;6740;3332;4.61885
1685;2336;2336;15390;6740;3332;4.61885
1687;2470;2470;16536;6748;3332;4.96279
1687;2470;2470;16536;6748;3332;4.96279
1689;2472;2472;16538;6756;3332;4.96339
1689;2472;2472;16538;6756;3332;4.96339
1690;2474;2474;16542;6760;3332;4.96459
