Time for expansion;Time for normal vector calc.;Determining materials;Determining connectivities;Reduced graph num vertices;num componenets;Time for smoothing;Determining visibilities;Setup active cells;Setup partition;Rate calculation;Memory Ray Tracing Data Structure;Level set time integration;Output;Time for Output;Total time step excl. Output;Total time step incl. Output;Chosen time step;Time;Left Time
0.0202517;0.000401535;0.000106054;0;0;0;0;0;0.00075524;0.00176603;3.44379;158460;0.00109876;1;0.0378989;3.46817;3.50619;0.0069311;0.0069311;79.9931
0.00121854;0.000358208;0.000101288;0;0;0;0;0;0.000747195;0.00150217;0.285351;141444;0.00196314;0;6.39702e-08;0.291245;0.291294;0.00694783;0.0138789;79.9861
0.00118656;0.000360691;0.000100811;0;0;0;0;0;0.000753562;0.00150211;0.294596;141444;0.00106212;0;1.50001e-07;0.299567;0.299613;0.00692089;0.0207998;79.9792
0.0012088;0.000365679;0.000101286;0;0;0;0;0;0.00077097;0.00149395;0.30464;141444;0.00404215;0;1.50001e-07;0.312628;0.312682;0.00683882;0.0276386;79.9724
0.00118032;0.000365366;0.000102181;0;0;0;0;0;0.000753382;0.00152333;0.291701;141444;0.00110275;0;1.61992e-07;0.296733;0.29679;0.00692122;0.0345599;79.9654
0.00118704;0.000362484;0.00010167;0;0;0;0;0;0.0007661;0.00148387;0.304793;141444;0.00105723;0;1.60013e-07;0.309756;0.309806;0.00688497;0.0414448;79.9586
0.00118365;0.000362024;0.000101676;0;0;0;0;0;0.000739363;0.00148734;0.29332;141444;0.0011158;0;6.99656e-08;0.298313;0.298376;0.0069316;0.0483764;79.9516
0.00118342;0.000359352;0.000100399;0;0;0;0;0;0.000741727;0.00149371;0.303554;141444;0.00113594;0;9.90112e-08;0.308573;0.308617;0.00657445;0.0549509;79.945
0.00121282;0.00125946;0.000101978;0;0;0;0;0;0.00074867;0.00149967;0.328007;141444;0.0010444;0;7.79983e-08;0.333879;0.333944;0.00652038;0.0614712;79.9385
0.00118427;0.000358198;0.000101718;0;0;0;0;0;0.000742651;0.00169157;0.292927;150620;0.00102052;0;6.90343e-08;0.298029;0.298085;0.00655411;0.0680254;79.932
0.00120166;0.00036707;0.000100985;0;0;0;0;0;0.000763817;0.0016765;0.311248;150708;0.0020787;0;1.44995e-07;0.317441;0.317498;0.00649774;0.0745231;79.9255
0.00122175;0.00036255;0.000102684;0;0;0;0;0;0.000742292;0.00156214;0.289415;143712;0.00121493;0;1.44006e-07;0.294627;0.294683;0.00622654;0.0807496;79.9193
0.00129222;0.000383102;0.000102415;0;0;0;0;0;0.000798048;0.00155371;0.2977;142532;0.00106061;0;1.56986e-07;0.302896;0.302951;0.00612725;0.0868769;79.9131
0.00123634;0.00042076;0.000102577;0;0;0;0;0;0.000748286;0.00151668;0.318773;142532;0.00108801;0;9.59844e-08;0.32389;0.323947;0.00617923;0.0930561;79.9069
0.00120308;0.000362157;0.000102769;0;0;0;0;0;0.000744378;0.00152107;0.284627;142532;0.00126049;0;4.49945e-08;0.289824;0.289878;0.0061004;0.0991565;79.9008
0.00131664;0.000385135;0.000101697;0;0;0;0;0;0.000777108;0.00152229;0.302148;142400;0.00111124;0;7.79983e-08;0.307368;0.307417;0.0048831;0.10404;79.896
0.00121175;0.000363289;0.000102916;0;0;0;0;0;0.000740094;0.00152942;0.292528;142400;0.00111821;0;1.55997e-07;0.297599;0.297661;0.00500056;0.10904;79.891
0.00130489;0.000370808;0.000103445;0;0;0;0;0;0.00076801;0.00154321;0.305581;142188;0.0010984;0;1.60013e-07;0.310776;0.310842;0.00589899;0.114939;79.8851
0.00122655;0.000363799;0.000103195;0;0;0;0;0;0.000741148;0.00166887;0.302384;142188;0.00317388;0;9.60426e-08;0.309668;0.30975;0.00547801;0.120417;79.8796
0.00123277;0.000367733;0.000104033;0;0;0;0;0;0.000740964;0.00149866;0.311022;145268;0.00228447;0;4.59841e-08;0.317255;0.317311;0.00592053;0.126338;79.8737
0.00161861;0.000405354;0.000162021;0;0;0;0;0;0.000810321;0.0016013;0.300333;145268;0.00108432;0;1.04948e-07;0.306021;0.30609;0.00600745;0.132345;79.8677
0.00129999;0.000359937;0.000102057;0;0;0;0;0;0.000740994;0.00150201;0.307998;145268;0.001066;0;8.69622e-08;0.313075;0.313129;0.00609833;0.138443;79.8616
0.00122842;0.000372827;0.000102994;0;0;0;0;0;0.000739517;0.00151322;0.297669;145268;0.00106422;0;1.64961e-07;0.302695;0.302752;0.00651342;0.144957;79.855
0.00126834;0.000363211;0.000103436;0;0;0;0;0;0.000740691;0.00151818;0.30851;146072;0.00126088;0;1.67987e-07;0.31377;0.313824;0.0063199;0.151277;79.8487
0.00188501;0.000366694;0.000102615;0;0;0;0;0;0.000740387;0.00143971;0.287052;138368;0.00106728;0;1.65019e-07;0.292664;0.292719;0.00651471;0.157792;79.8422
